テストケースID,メールアドレス,パスワード,アカウント状態,ログイン試行,期待結果
"TC-001","登録済み","正しい","アクティブ","初回","ログイン成功：マイページへ遷移"
"TC-002","登録済み","正しい","アクティブ","3回失敗後","ログイン成功：マイページへ遷移"
"TC-003","登録済み","正しい","ロック済み","初回","エラー：アカウントがロックされています"
"TC-004","登録済み","正しい","ロック済み","3回失敗後","エラー：アカウントがロックされています"
"TC-005","登録済み","間違っている","アクティブ","初回","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-006","登録済み","間違っている","アクティブ","3回失敗後","エラー：ログイン試行回数が上限に達しました（アカウントロック）"
"TC-007","登録済み","間違っている","ロック済み","初回","エラー：アカウントがロックされています"
"TC-008","登録済み","間違っている","ロック済み","3回失敗後","エラー：アカウントがロックされています"
"TC-009","登録済み","空欄","アクティブ","初回","エラー：パスワードを入力してください"
"TC-010","登録済み","空欄","アクティブ","3回失敗後","エラー：パスワードを入力してください"
"TC-011","登録済み","空欄","ロック済み","初回","エラー：アカウントがロックされています"
"TC-012","登録済み","空欄","ロック済み","3回失敗後","エラー：アカウントがロックされています"
"TC-013","未登録","正しい","アクティブ","初回","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-014","未登録","正しい","アクティブ","3回失敗後","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-015","未登録","正しい","ロック済み","初回","エラー：アカウントがロックされています"
"TC-016","未登録","正しい","ロック済み","3回失敗後","エラー：アカウントがロックされています"
"TC-017","未登録","間違っている","アクティブ","初回","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-018","未登録","間違っている","アクティブ","3回失敗後","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-019","未登録","間違っている","ロック済み","初回","エラー：アカウントがロックされています"
"TC-020","未登録","間違っている","ロック済み","3回失敗後","エラー：アカウントがロックされています"
"TC-021","未登録","空欄","アクティブ","初回","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-022","未登録","空欄","アクティブ","3回失敗後","エラー：メールアドレスまたはパスワードが正しくありません"
"TC-023","未登録","空欄","ロック済み","初回","エラー：アカウントがロックされています"
"TC-024","未登録","空欄","ロック済み","3回失敗後","エラー：アカウントがロックされています"
